"ORIGINURI","ID","UUIDHISTORY","CODE","PREFERREDLABEL","ALTLABELS","DESCRIPTION","SCOPENOTE"
"http://data.europa.eu/esco/isced-f/00","key_620","69946bbe-9552-4d3f-b58e-b0a61645accc
d4d4e095-b603-4be6-b3b8-4f1330a3f19e","","generic programmes and qualifications","generic programmes and qualifications","Generic programmes and qualifications are those providing fundamental and personal skills education which cover a broad range of subjects and do not emphasise or specialise in a particular broad or narrow field.
This broad field should not be used as a residual category. Programmes and qualifications with a specific subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here.",""
"http://data.europa.eu/esco/isced-f/000","key_621","c21f3d18-31a1-42e5-af42-f55b5c9b0ad2
ed5520dc-1721-49e4-a8de-fbae36ba7e5e","","generic programmes and qualifications not further defined","generic programmes and qualifications not further defined","",""
"http://data.europa.eu/esco/isced-f/0000","key_622","5378d440-ca0f-4e4e-b9d4-70efe7c92b15
d679e2f9-ebc4-4c2b-800f-1732ea94c74b","","generic programmes and qualifications not further defined","generic programmes and qualifications not further defined","",""
"http://data.europa.eu/esco/isced-f/001","key_623","32488c4e-39a5-4dc4-95b4-e7a6733e288b
705aa849-cf24-4219-84c6-3f7a90a8c58c","","basic programmes and qualifications","basic programmes and qualifications","",""
"http://data.europa.eu/esco/isced-f/0011","key_624","3cbac60e-3521-4876-aad0-a576af0222c1
b4b07d7c-6ef2-4aae-ae12-f52636da59af","","basic programmes and qualifications","basic programmes and qualifications","Basic programmes and qualifications are designed to provide participants with fundamental skills in reading, writing and arithmetic along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music, and in some cases religious instruction. These programmes and qualifications are normally offered at primary and lower secondary levels. Broad, non-specialised programmes at upper secondary level are also classified here even if there is some concentration on, for example, humanities, social science, natural science etc. Vocational programmes and qualifications are included here only by way of exception.
Programmes and qualifications with the following main subject content are classified here:
Basic programmes and qualifications
Broad, generic (non-specialised) programmes and qualifications
General programmes and qualifications with no specific subject emphasis
Programmes and qualifications at primary level

=== Inclusions
Basic programmes and qualifications at upper secondary level (in some countries at lower secondary level) with some emphasis on e.g. humanities, social sciences or natural sciences but still covering other fields of knowledge are included in this detailed field. In some countries such programmes or qualifications are offered on a modular basis and should also be classified here.

=== Exclusions
Programmes that are considered as general in the programme orientation sense (non-vocational) but have a clear emphasis on a detailed, narrow or broad field are excluded from this detailed field and included in one of the broad fields 01-10, depending on the subject covered.",""
"http://data.europa.eu/esco/isced-f/002","key_625","46a562de-d7bd-4171-8920-0dfe0d9d5bd2
181996d3-f1b8-4c64-81f5-d4029ec35594","","literacy and numeracy","literacy and numeracy","",""
"http://data.europa.eu/esco/isced-f/0021","key_626","47699e79-d78d-4f36-8312-8f2dbfd82348
e9d59046-6dc8-4e8e-ba10-46c81807d262","","literacy and numeracy","literacy and numeracy","Literacy and numeracy are programmes or qualifications arranged mainly for adults, designed to teach fundamental skills in reading, writing and arithmetic. The typical age range of participants can be used to distinguish between detailed field 0011 'Basic programmes and qualifications' and this detailed field.
Programmes and qualifications with the following main content are classified here:
Basic remedial programmes for youth or adults
Literacy
Numeracy",""
"http://data.europa.eu/esco/isced-f/003","key_627","1f75e70d-f92a-403f-a383-88659194852b
386fe5b7-05dc-4bc7-9cc6-f325db7747fd","","personal skills and development","personal skills and development","",""
"http://data.europa.eu/esco/isced-f/0031","key_628","8af0d02b-18c5-4706-b9af-c1e586e7a308
3643ac30-9091-4606-9623-73c024ed3c8c","","personal skills and development","personal skills and development","Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'.",""
"http://data.europa.eu/esco/isced-f/009","key_629","d04da3da-45af-4c8c-8b68-68bd2cfa07e5
0c0e05e2-1de6-436d-9e94-2eb8a96b2102","","generic programmes and qualifications not elsewhere classified","generic programmes and qualifications not elsewhere classified","",""
"http://data.europa.eu/esco/isced-f/0099","key_630","b7242a70-a7c5-4974-8664-b764246f3750
53058baa-8baf-4604-a7d1-1e5b5f13ca15","","generic programmes and qualifications not elsewhere classified","generic programmes and qualifications not elsewhere classified","",""
"http://data.europa.eu/esco/isced-f/01","key_631","7a338b9a-f296-4641-8057-babc83430b13
a29c613c-58c4-43a3-ac90-ca75578f4c28","","education","education","",""
"http://data.europa.eu/esco/isced-f/011","key_632","b3e1b406-bd4e-4377-b312-95c845e2f4b8
59fa4acd-d66c-4e00-9a29-c484322e3092","","education","education","",""
"http://data.europa.eu/esco/isced-f/0110","key_633","e85eb357-5546-45b5-a197-44bb39f10a47
748364a7-39b0-450f-afc0-4904b36246e8","","education not further defined","education not further defined","",""
"http://data.europa.eu/esco/isced-f/0111","key_634","68f829e2-2a5e-4eed-a26a-3141cb8330b4
5a770859-6f7b-40dd-b5a8-2b87320cdc0b","","education science","education science","Education science is the study of the learning process and the theories, methods and techniques of imparting knowledge to others.
Programmes and qualifications with the following main content are classified here:
Curriculum studies
Didactics
Educational assessment, testing and measurement
Educational evaluation and research
Paedagogical sciences

=== Exclusions
Teacher training programmes which combine education science with the practice of teaching are excluded from this detailed field and included in one of the detailed fields for teacher training (0112-0114).",""
"http://data.europa.eu/esco/isced-f/0112","key_635","e90a231d-c518-4c66-bbab-d12cf006d12c
97f5a5d4-ba04-4fce-9a21-f4d5295782a8","","training for pre-school teachers","training for pre-school teachers","Training for pre-school teachers is the study of the theories, methods and practice of teaching very young children up to 7 years of age within formal school settings at pre-primary or early childhood educational development levels.
Programmes and qualifications with the following main content are classified here:
Early childhood teaching (within formal school settings)
Pre-primary teacher training

=== Exclusions
Training in caring for children outside formal school settings is excluded from this detailed field and included in detailed field 0922 'Child care and youth services'.",""
"http://data.europa.eu/esco/isced-f/0113","key_636","a7e3fa24-b61b-41c3-a863-a554c235b32e
b6a11a69-41de-4b3d-b2c2-0991c19ef4a2","","teacher training without subject specialisation","teacher training without subject specialisation","Training for teachers without subject specialisation is the study of the theories, methods and practice of providing children between approximately 5 and 15 years of age with the fundamental skills in reading, writing and mathematics along with an elementary understanding of other subjects such as history, geography, social science etc. and laying the foundation for lifelong learning. Subject specialisation is stressed less than in detailed field 0114 'Teacher training with subject specialisation'. The study of teaching children with special needs is included in this detailed field, likewise the study of teaching adults fundamental reading and writing skills and teaching immigrants these types of skills in their home or first language.
Programmes and qualifications with the following main content are classified here:
Class teacher training
Indigenous teacher training
Primary teaching
Teacher training for children with special needs

=== Inclusions
The study of teaching adults basic literacy and numeracy skills is included here. Teacher's aide (teaching assistant) is also included here.

=== Exclusions
Teacher training with subject specialisation even if intended for the teaching of children in primary or lower secondary education is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.",""
"http://data.europa.eu/esco/isced-f/0114","key_637","2ddd0a00-3105-4a9b-8574-c72d3fb1fc04
df961861-53a1-4e89-b57d-b80ddc5fd5fe","","teacher training with subject specialisation","teacher training with subject specialisation","Teacher training with subject specialisation is the study of the theories, methods and practice of teaching a specific subject, mostly at secondary or higher levels of education. Programmes and qualifications included in this detailed field often comprise both studies as well as the subject/subjects that are going to be taught.
Programmes and qualifications with the following main content are classified here:
Teacher training - arts and crafts
Teacher training - commercial subjects
Teacher training - music
Teacher training - nursing
Teacher training - physical training
Teacher training - second languages
Teacher training - specific theoretical subjects, e.g. English, mathematics, history
Teacher training - technical subjects
Teacher training - vocational subjects
Training of driving instructors
Training of trainers

=== Inclusions
Teacher training courses for university teachers, instructors of work place and working life skills and in practical and artistic subjects are included here.

=== Exclusions
Training of sports trainers is excluded from this detailed field and included in detailed field 1014 'Sports'.",""
"http://data.europa.eu/esco/isced-f/0119","key_638","4d63c0ea-4fd1-4f0e-915c-538828d92b92
61ec0849-50b6-4301-bdb4-c8b1603a6b57","","education not elsewhere classified","education not elsewhere classified","",""
"http://data.europa.eu/esco/isced-f/018","key_639","18af4a71-e352-48ea-a836-201828ff9368
cd989d12-934f-453c-8118-94ebe065c990","","inter-disciplinary programmes and qualifications involving education","inter-disciplinary programmes and qualifications involving education","",""
"http://data.europa.eu/esco/isced-f/0188","key_640","34d5ac1f-f5e2-4c5a-870b-c80153e5c4e3
4d5023ba-5dcf-483a-a82e-28c8df0d0b13","","inter-disciplinary programmes and qualifications involving education","inter-disciplinary programmes and qualifications involving education","Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to education are classified here.",""
"http://data.europa.eu/esco/isced-f/02","key_641","9f9c416c-8627-4a1b-a175-b3e669ba3a49
44c9e9f6-d706-4680-8cb1-97ba8da82f15","","arts and humanities","arts and humanities","",""
"http://data.europa.eu/esco/isced-f/020","key_642","4055bbca-16a4-4626-b344-d7f4d11d6dfb
909df210-f5d6-4449-9b42-3b7b2da20b17","","arts and humanities not further defined","arts and humanities not further defined","",""
