"ID","ORIGINURI","UUIDHISTORY","OCCUPATIONGROUPCODE","CODE","OCCUPATIONTYPE","ISLOCALIZED","CREATEDAT","UPDATEDAT","DEFINITION","SCOPENOTE","REGULATEDPROFESSIONNOTE","PREFERREDLABEL","ALTLABELS","DESCRIPTION"
"687671c0ebd2bf665349dc7c","http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505","e9915884-9253-4f44-b66c-85ee15bd49cc
baf4e950-0686-4d1d-8efd-b55c90c55a93
24fd8541-da16-4761-a2b8-07ee45d09c94
b7da05d5-5d29-443e-aa7f-2de6b3451552","0110","0110.1","escooccupation","false","2025-07-15T15:20:34.221Z","2025-07-15T15:20:34.221Z","","","http://data.europa.eu/esco/regulated-professions/unregulated","ser oficial de la fuerza aérea","ser oficial de la fuerza aérea
oficial de la Real Fuerza Aérea
Teniente de vuelo
Oficial de vuelo
Comodoro del aire
Oficial de la fuerza aérea
Capitán de grupo militar
Oficial de mando y control
Oficial piloto
Líder de escuadrón","Los oficiales de la fuerza aérea se especializan en tareas de vuelo o terrestres, y supervisan un equipo de personal de la fuerza aérea. Coordinan la formación y el bienestar de su equipo, y realizan tareas específicas de su área de especialización."
"687671c0ebd2bf665349dc7d","http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2","6df014a1-962d-4982-9a99-485fa21ace42
97867224-7209-46a9-bdc2-d57a3d085cd9
036eb333-b91c-41a7-b5ad-eafd8636f64f
741deb41-8b83-475d-8c86-4e714fd049fc","0110","0110.10","escooccupation","false","2025-07-15T15:20:34.221Z","2025-07-15T15:20:34.221Z","","","http://data.europa.eu/esco/regulated-professions/unregulated","ser teniente","ser teniente
teniente de policía
teniente
teniente de las fuerzas armadas","Los tenientes mandan a las tropas de pelotones de soldados y los dirigen en ejercicios de entrenamiento y disciplina. También realizan tareas administrativas y actúan como asesores."
"687671c0ebd2bf665349dc7e","http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90","1e9a0807-5b98-4200-96b0-1356635f006d
661a6453-b104-4c5d-9565-a1a5f0338154
ab3ba361-9246-4ce3-8a6c-b986ec828a40
2e91be82-26db-48f8-8c9e-b3a87e6773b6","0110","0110.11","escooccupation","false","2025-07-15T15:20:34.221Z","2025-07-15T15:20:34.221Z","","","http://data.europa.eu/esco/regulated-professions/unregulated","ser oficial de marina","ser oficial de marina
subteniente
oficial de marina
Alférez de navío
Guardiamarina","Los oficiales de marina dirigen misiones durante tiempos de conflicto y paz, y supervisan la formación y el desarrollo de sus equipos. Supervisan las operaciones de combate de su equipo, así como las misiones de ayuda y las misiones de patrulla para asegurar el mantenimiento de la paz. A menudo colaboran regularmente con el departamento de RR. HH. del Cuartel General del Cuerpo de Seguridad para la mejor planificación de las necesidades futuras."
"687671c0ebd2bf665349dc7f","http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7","d879ec35-53d6-494a-80e9-8c91cfe2c12d
636484fb-1a16-425c-8a56-362b0165bccc
53ee3d1e-e966-47cf-b991-df411bdb61b9
a04ce143-6d38-43d7-b711-b8721d137670","0110","0110.12","escooccupation","false","2025-07-15T15:20:34.221Z","2025-07-15T15:20:34.221Z","","","http://data.europa.eu/esco/regulated-professions/unregulated","ser líder de escuadrón","ser líder de escuadrón
comandante de la fuerza aérea
comandante de escuadrón
líder de escuadrón de la fuerza aérea
líder de escuadrón
líder de equipo de escuadrón de la fuerza aérea","Los líderes de escuadrón mandan un escuadrón especializado en diferentes operaciones, como escuadrones de aeronaves, escuadrones de operaciones terrestres o escuadrones de vehículos de combate blindados."
"687671c0ebd2bf665349dc80","http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d","3b1d8c6f-7db7-40c1-846f-7e1f9c0f2a81
8e60b194-a31d-46b4-af3e-f8425157f5b6
e3564dd7-1b7f-41c9-a3e5-690f253ccd85
11392d6a-7beb-4255-9750-dfcc624e6699","0110","0110.2","escooccupation","false","2025-07-15T15:20:34.221Z","2025-07-15T15:20:34.221Z","","","http://data.europa.eu/esco/regulated-professions/unregulated","ser oficial de las fuerzas armadas","ser oficial de las fuerzas armadas
comandante
teniente general
Oficial de la Real Fuerza Aérea
Subteniente
general
teniente
oficial militar
oficial de la fuerza aérea
oficial de la Royal Navy
mayor general
oficial de la RAF
oficial de las fuerzas armadas
capitán
cadete oficial
coronel
oficial naval
oficial del ejército
oficial de la Royal Marines
oficial de marina
teniente coronel
brigadier","Los oficiales de las fuerzas armadas supervisan las operaciones y maniobras, asignan tareas y mandan al personal subordinado. Aseguran una comunicación eficiente dentro y entre las unidades y realizan tareas de formación. También manejan equipos y supervisan el mantenimiento de los equipos."
"687671c0ebd2bf665349dc81","http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497","8234b8c7-fb59-44fe-b62f-514a0c9c2fbc
4649a77c-5302-4080-b664-2ced453fd1fd
86e07c7d-e126-4f5e-a5b1-efe5610869c9
d47e18f7-76ae-4cef-94c5-56b3d7f42729","0110","0110.3","escooccupation","false","2025-07-15T15:20:34.221Z","2025-07-15T15:20:34.221Z","","","http://data.europa.eu/esco/regulated-professions/unregulated","ser capitán del ejército","ser capitán del ejército
capitán de las fuerzas armadas
comandante de compañía
comandante de tropa
principal oficial del ejército
capitán del ejército
comandante de batería
capitán de la Royal Marines","Los capitanes del ejército ayudan en la supervisión de grandes unidades de soldados, así como en la planificación y las tareas estratégicas en las operaciones tácticas. También aseguran el mantenimiento del equipo y brindan apoyo en asuntos logísticos, así como apoyo durante las operaciones."
"687671c0ebd2bf665349dc82","http://data.europa.eu/esco/occupation/c6e5e0e7-fa99-4f71-9fc1-9889d85282a5","e7b35394-be1a-4f1b-bd53-999622d7290a
a0ea8745-0e9f-4637-8676-35a1dd264660
60942b0c-7d5b-4fec-9dce-9739e91d172e
82782635-cabf-4611-9786-d555e93fa41c","0110","0110.4","escooccupation","false","2025-07-15T15:20:34.221Z","2025-07-15T15:20:34.221Z","","","http://data.europa.eu/esco/regulated-professions/unregulated","ser general del ejército","ser general del ejército
teniente general
general militar
mayor general
general
general del ejército
general de las fuerzas armadas","Los generales del ejército mandan grandes divisiones del ejército. Realizan tareas de gestión, tareas administrativas y tareas de planificación y estratégicas. Desarrollan políticas para la mejora de la defensa militar y general, y aseguran la seguridad de la nación."
"687671c0ebd2bf665349dc83","http://data.europa.eu/esco/occupation/e4c915ff-6c9c-4fa9-a8fb-09d0c67e30d4","9fc2a2d2-3f97-4ccb-9b4d-1e327c6e9d81
f5f21808-3bf6-4633-9b1b-8fafd8a3900b
3925d910-3073-4a3f-8c9e-a771d6749188
d836cd16-419b-427f-81b8-6f1956b94365","0110","0110.5","escooccupation","false","2025-07-15T15:20:34.233Z","2025-07-15T15:20:34.233Z","","","http://data.europa.eu/esco/regulated-professions/unregulated","ser comandante del ejército","ser comandante del ejército
comandante de batallón
comandante del ejército
comandante de las fuerzas armadas
teniente comandante
comandante militar
comandante","Los comandantes del ejército mandan grandes unidades de oficiales y soldados, supervisan su entrenamiento y supervisan su bienestar. También supervisan su administración y la gestión del equipo."
"687671c0ebd2bf665349dc84","http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3","e99ad2a0-570d-482b-9dab-80199697ecad
5de00a64-2dc3-40ac-804d-0c2462a24bbd
ecd581a1-301a-4172-aae6-45b2516e4eba
b4cae094-6195-4131-9037-4fe35a7011f7","0110","0110.6","escooccupation","false","2025-07-15T15:20:34.234Z","2025-07-15T15:20:34.234Z","","","http://data.europa.eu/esco/regulated-professions/unregulated","ser oficial de artillería","ser oficial de artillería
oficial de municiones
oficial de infantería
artillero
técnico de artillería
oficial de artillería","Los oficiales de artillería ofrecen apoyo en la batalla en los campos de adquisición de objetivos, coordinación de información, vigilancia y armamento. Están a cargo de las tácticas y el despliegue de armamento en el campo. También dirigen a los soldados."
"687671c0ebd2bf665349dc85","http://data.europa.eu/esco/occupation/bbd1fe06-1b55-4937-9317-fc162311ab38","bf9059ae-d124-4578-8166-431001db229f
c97d8ea0-082c-433c-8a37-e58fda766056
a94d1368-8e08-4ae3-b298-3e46de7d9a52
d52d2d4e-fd44-43a6-953a-0cf737e8bc05","0110","0110.7","escooccupation","false","2025-07-15T15:20:34.234Z","2025-07-15T15:20:34.234Z","","","http://data.europa.eu/esco/regulated-professions/unregulated","ser brigadier","ser brigadier
director de personal
brigadier
brigadier militar
brigadier del ejército
oficial de campo
brigadier general","Los brigadiers mandan grandes unidades de tropas llamadas brigadas, supervisan la planificación estratégica y táctica, y monitorean las operaciones de su brigada. Administran la sede de la división de la brigada y aseguran el correcto funcionamiento de la división en la base y en el campo."
