"ID","ORIGINURI","UUIDHISTORY","CODE","GROUPTYPE","CREATEDAT","UPDATEDAT","PREFERREDLABEL","ALTLABELS","DESCRIPTION"
"687671b1ebd2bf665349a128","http://data.europa.eu/esco/isco/C0","deae3e1b-2ee6-4ae4-91a9-130ff36d2e85
2c29c02c-4a48-4f7f-9005-e1ec9d7fd707
a348857c-d8d4-4c1f-a8d4-691e1f1838a3
375ad4ae-0113-4d76-b42a-e7b9ad8178bd","0","iscogroup","2025-07-15T15:20:17.938Z","2025-07-15T15:20:17.938Z","Ocupaciones de las fuerzas armadas","Ocupaciones de las fuerzas armadas","Las ocupaciones de las fuerzas armadas incluyen todos los empleos desempeñados por miembros de las fuerzas armadas. Los miembros de las fuerzas armadas son aquellos que prestan servicio en las fuerzas armadas, incluidos los servicios auxiliares, ya sea de forma voluntaria u obligatoria, y que no son libres de aceptar un empleo civil y están sujetos a la disciplina militar. Se incluyen los miembros regulares del ejército, la marina, la fuerza aérea y otros servicios militares, así como los reclutas inscritos para entrenamiento militar u otro servicio durante un período específico.
Las ocupaciones de este grupo principal se clasifican en los siguientes grupos secundarios:
01  Oficiales Comisionados de las Fuerzas Armadas
02  Oficiales Subalternos de las Fuerzas Armadas
03  Ocupaciones de las Fuerzas Armadas, Otros Rangos
Se excluyen de este grupo:
 -  los empleos desempeñados por personas en empleo civil de establecimientos gubernamentales relacionados con cuestiones de defensa;
 -  la policía (excepto la policía militar);
 -  los inspectores de aduanas y los miembros de los servicios civiles armados de frontera u otros.
Notas
Muchos trabajos realizados por miembros de las fuerzas armadas son similares, en términos de la naturaleza del trabajo realizado, a las ocupaciones civiles como médicos, operadores de radio, cocineros, secretarias y conductores de camiones pesados. Conceptualmente, puede ser apropiado, por lo tanto, clasificar esos trabajos en las fuerzas armadas con trabajos civiles similares. Este enfoque se adopta en varias clasificaciones nacionales de ocupaciones. Normalmente, esas clasificaciones también identifican una serie de grupos ocupacionales específicos de las fuerzas militares. Sin embargo, en muchos países, no es posible obtener información sobre la naturaleza del trabajo realizado por los miembros de las fuerzas armadas. Al adaptar la ISCO-08 para fines nacionales, los países pueden desear, por lo tanto, considerar qué enfoque se adapta mejor a sus circunstancias y necesidades de los usuarios. Sin embargo, a efectos de comparabilidad internacional, cuando se reportan y clasifican por ocupación los datos relativos a los miembros de las fuerzas armadas, deben incluirse, cuando sea posible, en el Grupo Principal 0 de la ISCO-08: Ocupaciones de las Fuerzas Armadas."
"687671b1ebd2bf665349a129","http://data.europa.eu/esco/isco/C01","643c9f70-9203-4c9c-a821-2d29ba1dc29c
da7498f4-fa65-4f28-a5ef-21d2b2c3526e
7ecf2a06-ad72-421f-aecb-facb425b4def
cf84519f-ff3c-459c-b5f7-7221c4261e00","01","iscogroup","2025-07-15T15:20:17.939Z","2025-07-15T15:20:17.939Z","Oficiales comisionados de las fuerzas armadas","Oficiales comisionados de las fuerzas armadas","Los oficiales comisionados de las fuerzas armadas proporcionan liderazgo y gestión a las unidades organizativas de las fuerzas armadas o realizan tareas similares a las realizadas en una variedad de ocupaciones civiles fuera de las fuerzas armadas. Este grupo incluye a todos los miembros de las fuerzas armadas que poseen el rango de teniente segundo (o equivalente) o superior. El desempeño competente en la mayoría de las ocupaciones de este grupo secundario requiere habilidades en el cuarto nivel de habilidades de la ISCO.
Las ocupaciones de este grupo secundario se clasifican en el siguiente grupo menor:
011  Oficiales Comisionados de las Fuerzas Armadas
Se excluyen de este grupo:
-  los empleos desempeñados por personas en empleo civil de establecimientos gubernamentales relacionados con cuestiones de defensa;
-  la policía (excepto la policía militar);
-  los inspectores de aduanas y los miembros de los servicios civiles armados de frontera u otros."
"687671b1ebd2bf665349a12a","http://data.europa.eu/esco/isco/C011","0c16a63f-2087-45d2-9608-4b419c5f88a0
d30e490c-639e-4c4a-b891-b3f174920056
5c30af35-783f-4145-baba-4d738c88b112
4cbf6d83-8d95-484b-80c5-fc2b3ea556f5","011","iscogroup","2025-07-15T15:20:17.939Z","2025-07-15T15:20:17.939Z","Oficiales comisionados de las fuerzas armadas","Oficiales comisionados de las fuerzas armadas","Los oficiales comisionados de las fuerzas armadas proporcionan liderazgo y gestión a las unidades organizativas de las fuerzas armadas o realizan tareas similares a las realizadas en una variedad de ocupaciones civiles fuera de las fuerzas armadas. Este grupo incluye a todos los miembros de las fuerzas armadas que poseen el rango de teniente segundo (o equivalente) o superior.
Las ocupaciones de este grupo menor se clasifican en el siguiente grupo unitario:
0110 Oficiales Comisionados de las Fuerzas Armadas
Se excluyen de este grupo:
 -  los empleos desempeñados por personas en empleo civil de establecimientos gubernamentales relacionados con cuestiones de defensa;
 -  la policía (excepto la policía militar);
 -  los inspectores de aduanas y los miembros de los servicios civiles armados de frontera u otros."
"687671b1ebd2bf665349a12b","http://data.europa.eu/esco/isco/C0110","0c3dfc8c-fca6-43e1-bb88-e269f33f54a2
df1cc006-2065-45a4-bc53-b7e403b8985d
1f84bf0b-b815-4ef6-b076-f913290f3da0
3f6ce529-1673-4957-a404-6da3ea6d68a5","0110","iscogroup","2025-07-15T15:20:17.939Z","2025-07-15T15:20:17.939Z","Oficiales comisionados de las fuerzas armadas","Oficiales comisionados de las fuerzas armadas","Los oficiales comisionados de las fuerzas armadas proporcionan liderazgo y gestión a las unidades organizativas de las fuerzas armadas o realizan tareas similares a las realizadas en una variedad de ocupaciones civiles fuera de las fuerzas armadas. Este grupo incluye a todos los miembros de las fuerzas armadas que poseen el rango de teniente segundo (o equivalente) o superior.
Ejemplos de las ocupaciones clasificadas aquí:
- Almirante
- Comodoro
- Mariscal del aire
- Brigadier (ejército)
- Capitán (fuerza aérea)
- Capitán (ejército)
- Capitán (marina)
- Coronel (ejército)
- Mariscal de campo
- Teniente de vuelo (fuerza aérea)
- Oficial de vuelo (militar)
- General (ejército)
- Comandante de grupo (fuerza aérea)
- Teniente (ejército)
- Mayor (ejército)
- Guardiamarina
- Oficial de marina (militar)
- Comandante de marina
- Cadete (fuerzas armadas)
- Teniente segundo (ejército)
- Comandante de escuadrón
- Subteniente (marina)
- Comandante de ala
Se excluyen de este grupo:
 -  los empleos desempeñados por personas en empleo civil de establecimientos gubernamentales relacionados con cuestiones de defensa;
 -  la policía (excepto la policía militar);
 -  los inspectores de aduanas y los miembros de los servicios civiles armados de frontera u otros."
"687671b1ebd2bf665349a12c","http://data.europa.eu/esco/isco/C02","3888d198-f4d8-4d07-9184-7e0a4f4b1272
12572745-ff93-40c2-9bc2-00f067b9541c
f89c3752-4152-46d0-8963-7ead8e1ea8f1
92d2f425-b38f-422b-ac9e-37bf20328fb3","02","iscogroup","2025-07-15T15:20:17.939Z","2025-07-15T15:20:17.939Z","Oficiales subalternos de las fuerzas armadas","Oficiales subalternos de las fuerzas armadas","Los oficiales subalternos de las fuerzas armadas hacen cumplir la disciplina militar y supervisan las actividades de quienes trabajan en el Grupo Secundario 03: Ocupaciones de las Fuerzas Armadas, Otros Rangos, o realizan tareas similares a las realizadas en una variedad de ocupaciones civiles fuera de las fuerzas armadas. Este grupo incluye a los miembros de las fuerzas armadas que poseen rangos como sargento, suboficial y sargento mayor. El desempeño competente en la mayoría de las ocupaciones de este grupo secundario requiere habilidades en el segundo nivel de habilidades de la ISCO.
Las ocupaciones de este grupo secundario se clasifican en el siguiente grupo menor:
021  Oficiales Subalternos de las Fuerzas Armadas
Se excluyen de este grupo:
  -  los empleos desempeñados por personas en empleo civil de establecimientos gubernamentales relacionados con cuestiones de defensa;
  -  la policía (excepto la policía militar);
  - los inspectores de aduanas y los miembros de los servicios civiles armados de frontera u otros."
"687671b1ebd2bf665349a12d","http://data.europa.eu/esco/isco/C021","9cadc751-fdc5-437b-9e80-8a5b8a8e9aa2
a470318b-f375-4fff-8f6e-c2f0713dfdc6
28e1794c-e0a3-4467-848c-57b060b598a0
b0973fd1-8fac-48bd-857e-8466a3ec061b","021","iscogroup","2025-07-15T15:20:17.939Z","2025-07-15T15:20:17.939Z","Oficiales subalternos de las fuerzas armadas","Oficiales subalternos de las fuerzas armadas","Los oficiales subalternos de las fuerzas armadas hacen cumplir la disciplina militar y supervisan las actividades de quienes trabajan en el Subgrupo 031: Ocupaciones de las Fuerzas Armadas, Otros Rangos, o realizan tareas similares a las realizadas en una variedad de ocupaciones civiles fuera de las fuerzas armadas. Este grupo incluye a los miembros de las fuerzas armadas que poseen rangos como sargento, suboficial y sargento mayor.
Las ocupaciones de este grupo menor se clasifican en el siguiente grupo unitario:
0210  Oficiales Subalternos de las Fuerzas Armadas
Se excluyen de este grupo:
 - los empleos desempeñados por personas en empleo civil de establecimientos gubernamentales relacionados con cuestiones de defensa;
 - la policía (excepto la policía militar);
 - los inspectores de aduanas y los miembros de los servicios civiles armados de frontera u otros."
"687671b1ebd2bf665349a12e","http://data.europa.eu/esco/isco/C0210","35a1c03e-4df3-4d0f-a133-6f26f8c40e43
97102eb7-33d6-48c7-95b6-5c1c52a082b7
eb75a37f-80d8-4520-ba28-0dcb41fb5f0c
e17d3987-937c-42f0-b719-a0d5d54a4e99","0210","iscogroup","2025-07-15T15:20:17.939Z","2025-07-15T15:20:17.939Z","Oficiales subalternos de las fuerzas armadas","Oficiales subalternos de las fuerzas armadas","Los oficiales subalternos de las fuerzas armadas hacen cumplir la disciplina militar y supervisan las actividades de quienes trabajan en el Grupo Secundario 0310: Ocupaciones de las Fuerzas Armadas, Otros Rangos, o realizan tareas similares a las realizadas en una variedad de ocupaciones civiles fuera de las fuerzas armadas. Este grupo incluye a los miembros de las fuerzas armadas que poseen rangos como sargento, suboficial y sargento mayor.
Ejemplos de las ocupaciones clasificadas aquí:
- Contramaestre (marina)
- Sargento de vuelo
- Sargento (ejército)
- Sargento mayor
- Suboficial
Se excluyen de este grupo:
 -  los empleos desempeñados por personas en empleo civil de establecimientos gubernamentales relacionados con cuestiones de defensa;
 -  la policía (excepto la policía militar);
 -  los inspectores de aduanas y los miembros de los servicios civiles armados de frontera u otros."
"687671b1ebd2bf665349a12f","http://data.europa.eu/esco/isco/C03","164de2e8-9d45-461c-873e-e38bd89c4cff
b029668e-d071-401a-bb2e-5d037fd17d26
0946478c-0a56-482d-b0c2-ba029ad21015
2d9a7de0-6e72-4589-8c65-8d478997e5d6","03","iscogroup","2025-07-15T15:20:17.939Z","2025-07-15T15:20:17.939Z","Ocupaciones de las fuerzas armadas, otros rangos","Ocupaciones de las fuerzas armadas, otros rangos","Las ocupaciones de las fuerzas armadas, otros rangos, incluyen a todos los miembros reclutados y no reclutados de las fuerzas armadas, excepto los oficiales comisionados y los suboficiales. Realizan tareas militares específicas o realizan tareas similares a las realizadas en una variedad de ocupaciones civiles fuera de las fuerzas armadas. La mayoría de las ocupaciones de este grupo secundario requieren habilidades en el primer nivel de habilidades de la ISCO.
Las ocupaciones de este grupo secundario se clasifican en el siguiente grupo menor:
031  Ocupaciones de las Fuerzas Armadas, Otros Rangos
Se excluyen de este grupo:
 -  los empleos desempeñados por personas en empleo civil de establecimientos gubernamentales relacionados con cuestiones de defensa;
 -  la policía (excepto la policía militar);
 -  los inspectores de aduanas y los miembros de los servicios civiles armados de frontera u otros."
"687671b1ebd2bf665349a130","http://data.europa.eu/esco/isco/C031","a117fdd1-33ae-45e9-81c6-92f5410e5479
dda51d64-9047-49ac-9a1d-b44c8cc4d7f5
8fc668cb-4dbb-4deb-bd50-06cb42ca66d9
4f080845-add6-47b8-839b-99d63d7cec1f","031","iscogroup","2025-07-15T15:20:17.939Z","2025-07-15T15:20:17.939Z","Ocupaciones de las fuerzas armadas, otros rangos","Ocupaciones de las fuerzas armadas, otros rangos","Las ocupaciones de las fuerzas armadas, otros rangos, incluyen a todos los miembros reclutados y no reclutados de las fuerzas armadas, excepto los oficiales y suboficiales. Realizan tareas militares específicas o tareas similares a las que se realizan en una variedad de ocupaciones civiles fuera de las fuerzas armadas.
Las ocupaciones de este grupo menor se clasifican en el siguiente grupo de unidades:
0310  Ocupaciones de las Fuerzas Armadas, Otros Rangos
Quedan excluidos de este grupo:
 -  los puestos ocupados por personas en empleo civil de establecimientos gubernamentales relacionados con cuestiones de defensa;
 -  la policía (que no sea la policía militar);
 -  los inspectores de aduanas y los miembros de los servicios civiles armados de frontera u otros."
"687671b1ebd2bf665349a131","http://data.europa.eu/esco/isco/C0310","e8e30c88-634b-43e9-aa56-fbd716349aca
75a32d7e-feb2-4b10-b162-96c789d72630
33d0b8ba-db5a-4847-98e0-cbdbb8db345c
1e9aac0a-8d42-43e3-823e-593202c379d3","0310","iscogroup","2025-07-15T15:20:17.939Z","2025-07-15T15:20:17.939Z","Ocupaciones de las fuerzas armadas, otros rangos","Ocupaciones de las fuerzas armadas, otros rangos","Las ocupaciones de las fuerzas armadas, otros rangos, incluyen a todos los miembros reclutados y no reclutados de las fuerzas armadas, excepto los oficiales y suboficiales. Realizan tareas militares específicas o tareas similares a las que se realizan en una variedad de ocupaciones civiles fuera de las fuerzas armadas.
Ejemplos de las ocupaciones clasificadas aquí:
- Aviador
- Bombardier
- Cabo (fuerza aérea)
- Cabo (ejército)
- Patrullero (marina)
- Artillero
- Infantería
- Paracaidista
- Fusilero
- Marinero (marina)
Quedan excluidos de este grupo:
 -  los puestos ocupados por personas en empleo civil de establecimientos gubernamentales relacionados con cuestiones de defensa;
 -  la policía (que no sea la policía militar);
 -  los inspectores de aduanas y los miembros de los servicios civiles armados de frontera u otros."
