ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/00,key_620,d4d4e095-b603-4be6-b3b8-4f1330a3f19e,,generic programmes and qualifications,,"Generic programmes and qualifications are those providing fundamental and personal skills education which cover a broad range of subjects and do not emphasise or specialise in a particular broad or narrow field.
This broad field should not be used as a residual category. Programmes and qualifications with a specific subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here.",
http://data.europa.eu/esco/isced-f/000,key_621,ed5520dc-1721-49e4-a8de-fbae36ba7e5e,,generic programmes and qualifications not further defined,,,
http://data.europa.eu/esco/isced-f/0000,key_622,d679e2f9-ebc4-4c2b-800f-1732ea94c74b,,generic programmes and qualifications not further defined,,,
http://data.europa.eu/esco/isced-f/001,key_623,705aa849-cf24-4219-84c6-3f7a90a8c58c,,basic programmes and qualifications,,,
http://data.europa.eu/esco/isced-f/0011,key_624,b4b07d7c-6ef2-4aae-ae12-f52636da59af,,basic programmes and qualifications,,"Basic programmes and qualifications are designed to provide participants with fundamental skills in reading, writing and arithmetic along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music, and in some cases religious instruction. These programmes and qualifications are normally offered at primary and lower secondary levels. Broad, non-specialised programmes at upper secondary level are also classified here even if there is some concentration on, for example, humanities, social science, natural science etc. Vocational programmes and qualifications are included here only by way of exception.
Programmes and qualifications with the following main subject content are classified here:
Basic programmes and qualifications
Broad, generic (non-specialised) programmes and qualifications
General programmes and qualifications with no specific subject emphasis
Programmes and qualifications at primary level

=== Inclusions
Basic programmes and qualifications at upper secondary level (in some countries at lower secondary level) with some emphasis on e.g. humanities, social sciences or natural sciences but still covering other fields of knowledge are included in this detailed field. In some countries such programmes or qualifications are offered on a modular basis and should also be classified here.

=== Exclusions
Programmes that are considered as general in the programme orientation sense (non-vocational) but have a clear emphasis on a detailed, narrow or broad field are excluded from this detailed field and included in one of the broad fields 01-10, depending on the subject covered.",
http://data.europa.eu/esco/isced-f/002,key_625,181996d3-f1b8-4c64-81f5-d4029ec35594,,literacy and numeracy,,,
http://data.europa.eu/esco/isced-f/0021,key_626,e9d59046-6dc8-4e8e-ba10-46c81807d262,,literacy and numeracy,,"Literacy and numeracy are programmes or qualifications arranged mainly for adults, designed to teach fundamental skills in reading, writing and arithmetic. The typical age range of participants can be used to distinguish between detailed field 0011 'Basic programmes and qualifications' and this detailed field.
Programmes and qualifications with the following main content are classified here:
Basic remedial programmes for youth or adults
Literacy
Numeracy",
http://data.europa.eu/esco/isced-f/003,key_627,386fe5b7-05dc-4bc7-9cc6-f325db7747fd,,personal skills and development,,,
http://data.europa.eu/esco/isced-f/0031,key_628,3643ac30-9091-4606-9623-73c024ed3c8c,,personal skills and development,,"Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'.",
http://data.europa.eu/esco/isced-f/009,key_629,0c0e05e2-1de6-436d-9e94-2eb8a96b2102,,generic programmes and qualifications not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/0099,key_630,53058baa-8baf-4604-a7d1-1e5b5f13ca15,,generic programmes and qualifications not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/01,key_631,a29c613c-58c4-43a3-ac90-ca75578f4c28,,education,,,
http://data.europa.eu/esco/isced-f/011,key_632,59fa4acd-d66c-4e00-9a29-c484322e3092,,education,,,
http://data.europa.eu/esco/isced-f/0110,key_633,748364a7-39b0-450f-afc0-4904b36246e8,,education not further defined,,,
http://data.europa.eu/esco/isced-f/0111,key_634,5a770859-6f7b-40dd-b5a8-2b87320cdc0b,,education science,,"Education science is the study of the learning process and the theories, methods and techniques of imparting knowledge to others.
Programmes and qualifications with the following main content are classified here:
Curriculum studies
Didactics
Educational assessment, testing and measurement
Educational evaluation and research
Paedagogical sciences

=== Exclusions
Teacher training programmes which combine education science with the practice of teaching are excluded from this detailed field and included in one of the detailed fields for teacher training (0112-0114).",
